Cow no,Weight(kg),Increase Weight,Total Feed(kg),Corn(ভুট্টা)(kg),Khail(খৈল)(kg),Khor(খর)(kg),Green Grass(kg),Sailase(সাইলেস)(kg),Wheat Husk(kg),Madicine,Water,Current,Coil,Worker,Total cost(tk),Milk(Ltr.),kids income,kids cost,Milk Income,Milk Revenue,Kids Revenue,Total_Revenue,profit
1,353,353.1232,10.59,2.118,1.2708,0.8472,3.177,1.059,2.118,30,6.66,3.33,10,66,353.206,5.295,49.01960784,13.7254902,370.65,17.444,35.29411765,52.73811765,1
2,419,419.1232,12.57,2.514,1.5084,1.0056,3.1425,1.257,2.514,30,6.66,3.33,10,66,393.1585,10.475,49.01960784,13.7254902,733.25,340.0915,35.29411765,375.3856176,1
3,321,321.1232,9.63,1.926,1.1556,0.7704,2.4075,0.963,1.926,30,6.66,3.33,10,66,328.3315,8.025,49.01960784,13.7254902,561.75,233.4185,35.29411765,268.7126176,1
4,542,542.1232,16.26,3.252,1.9512,1.3008,4.065,1.626,3.252,30,6.66,3.33,10,66,474.523,13.55,49.01960784,13.7254902,948.5,473.977,35.29411765,509.2711176,1
5,860,860.1232,25.8,5.16,3.096,2.064,6.45,2.58,5.16,30,6.66,3.33,2,66,676.88,21.5,49.01960784,13.7254902,1505,828.12,35.29411765,863.4141176,1
6,485,485.1232,14.55,2.91,1.746,1.164,3.6375,1.455,2.91,30,6.66,3.33,10,66,436.8175,12.125,49.01960784,13.7254902,848.75,411.9325,35.29411765,447.2266176,1
7,745,745.1232,22.35,4.47,2.682,1.788,5.5875,2.235,4.47,30,6.66,3.33,10,66,608.8075,18.625,49.01960784,13.7254902,1303.75,694.9425,35.29411765,730.2366176,1
8,545,545.1232,16.35,3.27,1.962,1.308,4.0875,1.635,3.27,30,6.66,3.33,10,66,476.5075,13.625,49.01960784,13.7254902,953.75,477.2425,35.29411765,512.5366176,1
9,755,755.1232,22.65,4.53,2.718,1.812,5.6625,2.265,4.53,30,6.66,3.33,10,66,615.4225,18.875,49.01960784,13.7254902,1321.25,705.8275,35.29411765,741.1216176,1
10,653,653.1232,19.59,3.918,2.3508,1.5672,4.8975,1.959,3.918,30,6.66,3.33,10,66,547.9495,16.325,49.01960784,13.7254902,1142.75,594.8005,35.29411765,630.0946176,1
11,641,641.1232,19.23,3.846,2.3076,1.5384,4.8075,1.923,3.846,30,6.66,3.33,10,66,540.0115,16.025,49.01960784,13.7254902,1121.75,581.7385,35.29411765,617.0326176,1
12,614,614.1232,18.42,3.684,2.2104,1.4736,4.605,1.842,3.684,30,6.66,3.33,10,66,522.151,15.35,49.01960784,13.7254902,1074.5,552.349,35.29411765,587.6431176,1
13,689,689.1232,20.67,4.134,2.4804,1.6536,5.1675,2.067,4.134,30,6.66,3.33,10,66,571.7635,17.225,49.01960784,13.7254902,1205.75,633.9865,35.29411765,669.2806176,1
14,712,712.1232,21.36,4.272,2.5632,1.7088,5.34,2.136,4.272,30,6.66,3.33,10,66,586.978,17.8,49.01960784,13.7254902,1246,659.022,35.29411765,694.3161176,1
15,755,755.1232,22.65,4.53,2.718,1.812,5.6625,2.265,4.53,30,6.66,3.33,10,66,615.4225,18.875,49.01960784,13.7254902,1321.25,705.8275,35.29411765,741.1216176,1
16,721,721.1232,21.63,4.326,2.5956,1.7304,5.4075,2.163,4.326,30,6.66,3.33,10,66,592.9315,18.025,49.01960784,13.7254902,1261.75,668.8185,35.29411765,704.1126176,1
17,745,745.1232,22.35,4.47,2.682,1.788,5.5875,2.235,4.47,30,6.66,3.33,10,66,608.8075,18.625,49.01960784,13.7254902,1303.75,694.9425,35.29411765,730.2366176,1
18,765,765.1232,22.95,4.59,2.754,1.836,5.7375,2.295,4.59,30,6.66,3.33,10,66,622.0375,19.125,49.01960784,13.7254902,1338.75,716.7125,35.29411765,752.0066176,1
19,735,735.1232,22.05,4.41,2.646,1.764,5.5125,2.205,4.41,30,6.66,3.33,10,66,602.1925,18.375,49.01960784,13.7254902,1286.25,684.0575,35.29411765,719.3516176,1
20,796,796.1232,23.88,4.776,2.8656,1.9104,5.97,2.388,4.776,30,6.66,3.33,10,66,642.544,19.9,49.01960784,13.7254902,1393,750.456,35.29411765,785.7501176,1
21,749,749.1232,22.47,4.494,2.6964,1.7976,5.6175,2.247,4.494,30,6.66,3.33,10,66,611.4535,18.725,49.01960784,13.7254902,1310.75,699.2965,35.29411765,734.5906176,1
22,715,715.1232,21.45,4.29,2.574,1.716,5.3625,2.145,4.29,30,6.66,3.33,10,66,588.9625,17.875,49.01960784,13.7254902,1251.25,662.2875,35.29411765,697.5816176,1
23,702,702.1232,21.06,4.212,2.5272,1.6848,5.265,2.106,4.212,30,6.66,3.33,10,66,580.363,17.55,49.01960784,13.7254902,1228.5,648.137,35.29411765,683.4311176,1
24,707,707.1232,21.21,4.242,2.5452,1.6968,5.3025,2.121,4.242,30,6.66,3.33,10,66,583.6705,17.675,49.01960784,13.7254902,1237.25,653.5795,35.29411765,688.8736176,1
25,719,719.1232,21.57,4.314,2.5884,1.7256,5.3925,2.157,4.314,30,6.66,3.33,10,66,591.6085,17.975,49.01960784,13.7254902,1258.25,666.6415,35.29411765,701.9356176,1
26,711,711.1232,21.33,4.266,2.5596,1.7064,5.3325,2.133,4.266,30,6.66,3.33,10,66,586.3165,17.775,49.01960784,13.7254902,1244.25,657.9335,35.29411765,693.2276176,1
27,672,672.1232,20.16,4.032,2.4192,1.6128,5.04,2.016,4.032,30,6.66,3.33,10,66,560.518,16.8,49.01960784,13.7254902,1176,615.482,35.29411765,650.7761176,1
28,713,713.1232,21.39,4.278,2.5668,1.7112,5.3475,2.139,4.278,30,6.66,3.33,10,66,587.6395,17.825,49.01960784,13.7254902,1247.75,660.1105,35.29411765,695.4046176,1
29,421,421.1232,12.63,2.526,1.5156,1.0104,3.1575,1.263,2.526,30,6.66,3.33,10,66,394.4815,10.525,49.01960784,13.7254902,736.75,342.2685,35.29411765,377.5626176,1
